,security_id,quantity,open_datetime,open_average_price,close_datetime,close_average_price,bm
0,15488,20713.577101139716,2020-07-31,196.07001,2020-08-31,204.14,
1,89393,16676.524137849185,2020-07-31,488.88,2020-08-31,529.56,
2,90215,18677.707034391085,2020-07-31,194.85001,2020-08-31,272.64999,
3,38703,500556.96360275184,2020-09-30,23.51,2020-10-30,21.45,
4,14593,94932.49010614159,2020-12-31,132.69,2021-01-29,131.96001,
5,38703,386403.883768791,2020-12-31,30.18,2021-01-29,29.88,
6,38703,294038.63935035095,2021-03-31,39.07,2021-04-30,45.05,
7,10107,85937.51049977758,2021-04-30,252.17999,2021-05-28,249.67999,
8,20648,17828.826805177734,2021-04-30,74.55,2021-05-28,93.77,
9,38703,279132.4506107597,2021-06-30,45.29,2021-07-30,45.94,
10,86580,67235.55449571984,2021-08-31,223.85001,2021-09-30,207.16,
11,90215,52964.11208423106,2021-08-31,265.26999,2021-09-30,271.22,
12,38703,279440.90260190354,2021-09-30,46.41,2021-10-29,51.16,
13,38703,286287.93623633764,2021-12-31,47.98,2022-01-31,53.8,
14,14593,86063.10181919533,2022-01-31,174.78,2022-02-28,165.12,
15,14593,27008.46547726603,2022-03-31,174.61,2022-04-29,157.64999,
16,15488,13504.232738633014,2022-03-31,115.65,2022-04-29,87.93,
17,26403,27008.46547726603,2022-03-31,137.16,2022-04-29,111.63,
18,38703,688.7158696702836,2022-03-31,48.459999999999994,2022-04-29,43.63,
19,59176,10803.38619090641,2022-03-31,187.0,2022-04-29,174.71001,
20,93436,13706.796229712509,2022-03-31,1077.5999800000004,2022-04-29,870.76001,
21,22976,1251.2872819090724,2022-05-31,18.45,2022-06-30,13.42,
22,66093,2887.586035174783,2022-05-31,21.29,2022-06-30,20.96,
23,38703,223219.26987073262,2022-06-30,39.17,2022-07-29,43.87,
24,38703,257784.94039176017,2022-09-30,40.220000000000006,2022-10-31,45.99,
