,0
arith mean,-0.006467238720084367
arith mean (ann),-0.07760686464101241
geomean mean,-0.00944003431020679
geomean mean (ann),-0.10758007226866073
sigma,0.07427362652265475
sigma (ann),0.2572913895992667
avg drawdown,0.1345286576347759
max drawdown,0.3870109833427062
alpha,-0.010335226188794268
alpha SE,0.012694450795249189
alpha (ann),-0.12402271426553121
alpha SE (ann),0.15233340954299027
beta,0.57612622874575
betaSE,0.22547188959531297
Sharpe ratio,-0.08707315130373695
Sharpe ratio (ann),-0.3016302440664093
information ratio,-0.13915068743333603
information ratio (ann),-0.4820321210853482
